headword,pronunciation,part_of_speech,inflections,definition,translation_ro,translation_en,translation_fr,etymology,context,examples,expressions,related_terms,source,source_url
acoalã1,a-cóljĭ,,,{ro: coală de hîrtie},coală de hîrtie,sheet of paper,feuille de papier,,,lja vãrã ndauã acolj apoea shi s-astuchi tuti guvili,,coalã,,https://www.dixionline.net/index.php?inputWord=a1
acoalã2,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a1
acrinã,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a1
aculsescu,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a2
aculsiri/aculsire,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a2
aculsit,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a2
aculã,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a1
adoara1,a-dŭá-ra,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a1
adoara2,a-dŭá-ra,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a2
adoarã1,,,,"{ro: zori de zi, spre ora două noaptea}","zori de zi, spre ora două noaptea","at dawn, about 2 o’clock at night","pointe du jour, à l’aube, vers deux heures du matin",,,"di-adoarã, shtii, cãndu lja s-creapã dzua; lunjineadzã pãn di-adoarã; pãnã cãtrã di-adoarã (tu cripata-a dzuãljei), ne cipit di om i di prici nu s-vidzu; pãnã di-adoarã yipturli eara curati shi aleapti dupã simintsã",,deadoarã; adoar; dadoar; deadoar,,https://www.dixionline.net/index.php?inputWord=a1
adoarã2,,,,{ro: a doua oară},a doua oară,the second time,la deuxième fois,,,featsirã numtã mari di-adoarã (andaua oarã); nu putu s-u-aflã adoarã (andoaua oarã) calea; nu-ashtiptarã dzãcã adoara,,deadoarã; deadoar; adoar; adoaura; dadoar,,https://www.dixionline.net/index.php?inputWord=a2
adoaura,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a2
adzã,,,,{ro: azi},azi,today,aujourd’hui,,,"gioacã adzã, gioacã mãni; nu eara ca featili shi nveastili di adzã",,asãndz; astãzã; astãndzã; adz; astãz; astãdz; asãndzã; az; astãndz; azã; andzã,,https://www.dixionline.net/index.php?inputWord=a1
afendi,a-fin-díljĭ,sm,,{ro: tată; preot},tată; preot,father; priest,père; prêtre,,,"ghini dzãtsea mana, ore afendi; afendi (tata) nu yini adz",,afendilji/afendilje; afindico; afindilji/afindilje; afendu,,https://www.dixionline.net/index.php?inputWord=abã
aflu,a-fláĭ,,,{ro: afla; găsi; descoperi; întâlni; naşte},afla; găsi; descoperi; întâlni; naşte,find; discover; learn; meet; be born,trouver; découvrir; apprendre; rencontrer; naître,,,"mi-aflam (earam) tu gãrdinã cãndu vinjish; acumpãrai aestã lugurii tra si s-aflã (s-hibã, s-u am) n casã; aflai unã fluearã bunã; avea aflatã nã leshi shi nu shtea cum s-u mpartã; cãtã iu s-aflã (easti, cadi) hoara-a voastrã?; diunãoarã mi-aflai (s-tihisi s-mi ved) anvãrligat di tuti pãrtsãli; di-auã pãnã n cuprii nu aflji (ugrãdiseshti, dai di) un ca el; mi duc s-aflu (ugrãdisescu) caljlji; aflai (nvitsai) unã hãbari bunã; aflai cã fudzish","1: mi aflu (tu-un loc) = escu, hiu (tu-un loc",aflari/aflare; aflat,,https://www.dixionline.net/index.php?inputWord=abã
afoarã1,"casã, filichii, sfinduchi, gepi, etc.",,,{ro: afară; separat},afară; separat,"outside, in the mountains, etc.; separately","dehors, dans les montagnes, etc.; séparement",,,altsã cuscri shed afoarã; om criscut tu bumbacuri nu poati s-facã afoarã (tu muntsã); nu avea altu afoarã di nãs,"1: altu afoarã di nãs (di-un lucru, idei, etc.) = tsi easti altu di nãs",dinafoarã; nafoarã,,https://www.dixionline.net/index.php?inputWord=a1
afoarã2,lãngoari,,,{ro: un fel de tifos},un fel de tifos,a variety of typhus,une sorte de typhus,,,"easti agudit di afoarã (fig: tifus, njatsã, buitsã)",,nafoarã,,https://www.dixionline.net/index.php?inputWord=a2
ageaba,,,,,oare?,,,,,,,,Dictsiunar Armãn-Romãn,https://www.dixionline.net/index.php?inputWord=abã
ageaba,,,,"{ro: oare, nu cumva}","oare, nu cumva",really,est-ce que),,,"ageaba (nacã), va treacã? (va treacã tsiva...?)",,,,https://www.dixionline.net/index.php?inputWord=abã
agonja,,,,"{ro: curând, repede}","curând, repede","soon, fast","bientôt, vite",,,"s-alinã agonja, agonja; agonja dupã avucat",,agunjisiri/agunjisire; agunja; agunjisescu; gonja; agunjisit; agunjii/agunjie,,https://www.dixionline.net/index.php?inputWord=abã
alabaci,,,,"{ro: copilandru, băieţandru, adolescent}","copilandru, băieţandru, adolescent","urchin, youngster, adolescent","gamin, marmouset, adolescent",,,"alabaci (ficiurac, hilandru) cum sh-eara",,talabaci,,https://www.dixionline.net/index.php?inputWord=abã
alabaciu,,,,,copilandru,,,,,,,,Dictsiunar Armãn-Romãn,https://www.dixionline.net/index.php?inputWord=abã
alas,a-lã-sáĭ,,,"{ro: lăsa, renunţa}","lăsa, renunţa","let, renounce","laisser, renoncer",,,"alasã-l sh-nu-l cãrtea; alasã-l s-yinã s-nj-agiutã; ni lo, ni alãsã; mi-alãsai (trapshu mãna) di beari; furlji lu-alãsarã (l-sãlghirã) sclavlu; ma nu lu-alasã (nu-l sãlãgheashti, nu-lj da cali) s-fugã; lu-alãsai sh-nu voi s-lu ved; lai Suliman, alasã-ti (tradzi mãna); nãs alãsã sãnãtati","1: lj-alas zbor = ãlj dzãc, ãlj dimãndu",alãsat,,https://www.dixionline.net/index.php?inputWord=a3
alatus,a-lá-thusĭ,,,"{ro: greşeală, eroare; vină}","greşeală, eroare; vină","mistake, error, fault","faute, erreur",,,alatus s-nu fãtseam,,alãtipsiri/alãtipsire; latus; alat; lãtipsescu; alãtipsescu; alãtipsit; lãtipsit,,https://www.dixionline.net/index.php?inputWord=abã
albã2,tsi s-lja multu lishor di la un la altu,,,"{ro: pojar, vărsat}","pojar, vărsat",smallpox,petite verole,,,lãndzidzã di alba di prucuyitsã; alba va s-u treacã; alba (multseadza) deadi tu oi,,,,https://www.dixionline.net/index.php?inputWord=a2
aleg1,a-lép-shĭu,,,{ro: alege; (se) diferenţia},alege; (se) diferenţia,select; elect; distinguish,"choisir; élire; (se) distinguer, (se) différencier",,,"cum aledz, acshi culedz; cãti-aleapsim (lom ca ma bunili), li hãrzim; alepshu (u loai cã mi-arisi; icã dghivãsii) unã carti; aushlu s-aleapsi","1: mi-aleg (di altsã) = mi-aspun ahoryea di-alantsã (altã soi, ma bunlu, ma mushatlu, ma cumintili, etc.)",aleptu,,https://www.dixionline.net/index.php?inputWord=abã
alumtã,a-lúm-ti,,,"{ro: luptă, bătălie}","luptă, bătălie","combat, fight","combat, lutte",,,la-alumtã turtsilj s-duc cu harauã; cari-i cama bun tu-alumtã; Vuscopulea eara partidz shi eara alumtã mari; sh-nãs s-amisticã tu atsea alumtã,"1: mi-alumtu dzua sh-noaptea = lucredz dzuã sh-noapti, tut chirolu, nu-astãmãtsescu dip",lumptã; lumtã; luptã; alumtu; alumtatic; aluptã; ljuftã,,https://www.dixionline.net/index.php?inputWord=abã
alãchescu,a-lã-chíĭ,,,{ro: lipi},lipi,glue,coller,,,baliga alãcheashti; s-avea alãchitã di fundu-lj unã flurii; ocljilj ãlj s-alãchirã,1: mi-alãchescu n cor = intru n cor,alãchiri/alãchire; alãchit,,https://www.dixionline.net/index.php?inputWord=abã
amurã3,a-mú-ri,,,"{ro: mură, rânza boului, stomahul rumegătoarelor}","mură, rânza boului, stomahul rumegătoarelor",stomach of ruminants,estomac des ruminants,,,fripshu amura di la oaea tsi-u tãljem deadun,,,,https://www.dixionline.net/index.php?inputWord=a3
amurã4,a-mú-ri,,,{ro: ac de păr},ac de păr,hair-pin,épingle à cheveux,,,,,,,https://www.dixionline.net/index.php?inputWord=a4
anâbârescu,,,,,"trezi, v",,,,,,,,Dictsiunar Armãn-Romãn,https://www.dixionline.net/index.php?inputWord=abã
arabatii,,,,,cocioabă,,,,,,,,Dictsiunar Armãn-Romãn,https://www.dixionline.net/index.php?inputWord=abã
arauã3,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a3
arcatŭ,,,,,"aruncat, abandonat",throwed away,jeté; abandonné,Context: Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,,,,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,https://www.dixionline.net/index.php?inputWord=abã
armirã,ar-mí-ri,,,{ro: saramură},saramură,brine,saumure,,,,,armozmu; armã,,https://www.dixionline.net/index.php?inputWord=a4
armã3,?,,,{ro: lapte acru de putină},lapte acru de putină,kind of curdled milk,sorte de lait-caillé,,,picurarlu n-adusi armã di la cãshari,,,,https://www.dixionline.net/index.php?inputWord=a3
armã4,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a4
arnealã3,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a3
arnescu,ar-níĭ,,,{ro: mătura},mătura,sweep,balayer,,,"peturi pisti peturi pãnã n tser, si li-arneshti cu meturi tut nu cher, ma cãndu yini atsel fãrã trup, pri tuti li mãcã ca un lup (angucitoari: vimtul sh-niorlji); avlia nu s-arneashti; li-arni cãljurli ca di pri palmã",1: arnescu ca di pri palmã = arnescu multu ghini di nu-alas tsiva,nearniri/nearnire; arniri; arnit; nearnit,,https://www.dixionline.net/index.php?inputWord=a3
aroabâ,,,,,con de molid,,,,,,,,Dictsiunar Armãn-Romãn,https://www.dixionline.net/index.php?inputWord=abã
aryãsitŭ,,,,,"tăbăcit (despre piei); iritat, nerăbdător","tanned; hardened; impatient, irritated",tanné; irrité,Context: Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,,,,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,https://www.dixionline.net/index.php?inputWord=abã
arãbã,,sm,,{ro: haraba},haraba,"wagon, cart",chariot,,,,"1: turcul lu-acatsã ljepurlu cu arãbãlu = cu diplumãtsii [zborlu yini di-aclo cã turcul easti arãvdãtor, ashtiptãndalui preanarga-anarga si s-facã lucrul tsi-l va nãs]",arãbãgi,,https://www.dixionline.net/index.php?inputWord=abagi
arãbãgi,,sm,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=abagi
arãu2,a-rá-ŭã,,,"{ro: rău, crud, câinos, ticălos; viguros}","rău, crud, câinos, ticălos; viguros","bad, wicked, evil, cruel; strong, vigorous","mauvais, méchant, cruel, affreux; vigoureux",,,muljarea aestã easti arauã (tihilai); yeatrul ãnj deadi yitrii arali (uruti); cã-i fricã sh-lumea-arauã (slabã); va-nj ts-aflji moartea-arauã; arauã (vãrtoasã) mbãirari fatsi catãrca,2: ti bag arãu = spun la chivernisi (i altã lumi) lucri tsi-ai faptã shi nu vrei si sã shtibã,arãeatsã; rãu; arãu,,https://www.dixionline.net/index.php?inputWord=a3
ba3,ba,,,{ro: a!},a!,nonsense!; pooh!; rubbish!; you don’t say so!,bah!; tiens!; hélas!,,,"ba (avdzã)! dzãsi nãsã, canda mini vream s-fac tut feati?",,,,https://www.dixionline.net/index.php?inputWord=a3
babageanŭ,,,,,solid; brav,"strong, well-built (person)",bien bâti; brave,Context: Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,,,,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,https://www.dixionline.net/index.php?inputWord=abã
balã3,bá-li,,,"{ro: talpă la încălţăminte, pingea}","talpă la încălţăminte, pingea",sole (of shoe),semelle,,,,,,,https://www.dixionline.net/index.php?inputWord=a3
balã4,bá-li,,,{ro: minge},minge,ball; sphere,"balle, boule, corps ronds",,,,,,,https://www.dixionline.net/index.php?inputWord=a4
banozi,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=abanozi
batã3,bắtsĭ,,,{ro: pată},pată,"stain, spot, speck",tache,,,,,,,https://www.dixionline.net/index.php?inputWord=a3
"bãbãescu, bubuescu",,,,,"a se cutremura, a se îngrozi",to shudder (with horror),frémir d'horeur,Context: Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,,,,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,https://www.dixionline.net/index.php?inputWord=abã
bãbãitŭ,,,,,îngrozit,"shoked, disgusted",horifié; écoeuré,Context: Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,,,,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,https://www.dixionline.net/index.php?inputWord=abã
caceacu+A3758,,,,,fugit,,,,,,,,Dictsiunar Armãn-Romãn,https://www.dixionline.net/index.php?inputWord=a3
canã4,cắnjĭ,,,{ro: carafă; cană},carafă; cană,"pitcher, jug; drinking cup",carafe; tasse (de métal),,,,,,,https://www.dixionline.net/index.php?inputWord=a4
chicutari2/chicutare,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a4
chicutat2,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a4
chicutedz2,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a4
chicutã4,chí-cu-ti,,,"{ro: apoplexie, epilepsie}","apoplexie, epilepsie","apoplexy, stroke, epilepsy","apoplexie, paralysie, épilepsie",,,di iu ti-aflã laea chicutã (dãmblãlu)?; ãlj cãdzu chicutã (apuplixii) mari; si-lj cadã chicutã (dãmlai) greauã; chicuta (dãmblãlu) s-ti-agudeascã!; chicuta (dãmblãlu) pi loc s-ti-aseascã; lu-acsi chicuta (apuplixia) sh-muri; chicutã!,"s-lu lja draclu!) nãs la mini s-mindueashti? § picã2 (pí-cã) sf fãrã pl – (unã cu chicutã4) ex: a lor nu lã cadi picã (apuplixii, dãmblã)",nchicutat; nchicutari/nchicutare; picã; nchicutedz,,https://www.dixionline.net/index.php?inputWord=a4
ciumã4,,,,,,,,,,,,,,https://www.dixionline.net/index.php?inputWord=a4
cãbati,,,,,abatere; vină,"guilt, fault, blame",faute; culpe,Context: Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,,,,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,https://www.dixionline.net/index.php?inputWord=abã
"cãbãtlí, cãbãtloanji",,,,,vinovat,guilty,fautif; culpable,Context: u vedŭ cãbãtloanji / I consider her guilty Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,u vedŭ cãbãtloanji / I consider her guilty Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,,,,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,https://www.dixionline.net/index.php?inputWord=abã
cãsãbã,,,,,oraş,city; town,ville,Context: Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,,,,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,https://www.dixionline.net/index.php?inputWord=abã
hãbári,,,,,"ştire, veste",news,nouvelle,Context: Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,,,,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,https://www.dixionline.net/index.php?inputWord=abã
hãbãrseari,,,,,respect,"respect, honour",respect,Context: Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,,,,Dictsiunarlu ti cathi dzuuâ - Mariana Bara 2024,https://www.dixionline.net/index.php?inputWord=abã
mulgu,múl-shĭu,,,{ro: mulge},mulge,milk,traire,,,muldzi cãprili; oara iu muldzea (lãptuea) oili; par,"1: l-mulgu = lu-arãd, l-dispolj",mulgãtor; mulsu; muldzeari/muldzeare; muldziri/muldzire,,https://www.dixionline.net/index.php?inputWord=abagi
